image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude,elevation
,San Jose Municipal Stadium,San Jose,CA,San Jose State,Mountain West,4200,1942,,37.3204351,-121.8623634,32.53474426
,Earl Wilson Stadium,Paradise,NV,UNLV,Mountain West,2500,1994,,36.1114236,-115.1476542,620.9179688
,Balf–Savin Field,New Britain,CT,Central Connecticut,Northeast,500,2010,,41.6965891,-72.7597728,40.87267685
,Joe Cannon Stadium,Hanover,MD,Coppin State,Northeast,1500,1990,,39.1532505,-76.7159609,57.37884903
,Soldier Field,Dover,DE,Delaware State,Northeast,500,1958,,39.1844672,-75.5460477,8.491195679
,Naimoli Family Baseball Complex,Teaneck,NJ,Fairleigh Dickinson,Northeast,500,2011,,40.9016254,-74.0278848,2.92545104
,LIU Baseball Stadium,Brookville,NY,LIU,Northeast,—,—,,40.813847,-73.5901577,52.88375473
,Hawk Stadium,Princess Anne,MD,Maryland Eastern Shore,Northeast,1000,2008,,38.211371,-75.6872167,5.104347706
,Greater Lawrence Technical High School Field,Andover,MA,Merrimack,Northeast,—,1974,,42.6927278,-71.1954518,24.2690506
,Marty L. Miller Field,Norfolk,VA,Norfolk State,Northeast,1500,1997,,36.8465964,-76.2634807,3.938048601
,Veterans Memorial Park,Bridgeport,CT,Sacred Heart,Northeast,500,2009,,41.2168112,-73.2308288,62.546772
,Lou Gorman Field,Easton,MA,Stonehill,Northeast,—,—,,42.0585807,-71.083558,34.56632614
,Richmond County Bank Ballpark,Staten Island,NY,Wagner,Northeast,7171,2001,,40.6455625,-74.0771935,9.865581512
,Coaches Stadium at Monier Field,Charleston,IL,Eastern Illinois,Ohio Valley,500,1982(renovated 2002),[27],39.4780632,-88.1807859,210.0464172
,Lou Brock Sports Complex,St. Charles,MO,Lindenwood,Ohio Valley,700,2015,,38.787441,-90.5066866,168.9492188
,Gary Hogan Field,Little Rock,AR,Little Rock,Ohio Valley,2550,1978,,34.7293237,-92.3301163,87.59909821
,Allen Field,Morehead,KY,Morehead State,Ohio Valley,1000,1973,[28],38.192972,-83.4260559,232.870163
,Roy E. Lee Field at Simmons Baseball Complex,Edwardsville,IL,SIU Edwardsville,Ohio Valley,1500,1972(Renovated 2014),[29],38.7988051,-90.0179266,134.2662201
,Capaha Field,Cape Girardeau,MO,Southeast Missouri State,Ohio Valley,2000,Late 1920s/early 1930s(Renovated 2006),[30],37.3133343,-89.5367522,124.655159
,USI Baseball Field,Evansville,IN,Southern Indiana,Ohio Valley,1200,1974,,37.9588487,-87.6716699,147.348877
,Bush Stadium at Averitt Express Baseball Complex,Cookeville,TN,Tennessee Tech,Ohio Valley,1100,1978,[31],36.1775846,-85.5139078,343.4343872
,Skyhawk Baseball Field,Martin,TN,UT Martin,Ohio Valley,500,1974,[32],36.3423692,-88.871321,111.7965012
,Alfred D. Boyer Stadium,Macomb,IL,Western Illinois,Ohio Valley,500,2006,,40.4733114,-90.686349,192.6380768
,Hi Corbett Field,Tucson,AZ,Arizona,Pac-12,9500,1927,,32.2129525,-110.9197125,758.5875244
,Phoenix Municipal Stadium,Phoenix,AZ,Arizona State,Pac-12,8775,1964,,33.4492164,-111.9547754,364.5796509
,Evans Diamond,Berkeley,CA,California,Pac-12,2500,1933,,37.8694247,-122.2633963,70.94693756
,PK Park,Eugene,OR,Oregon,Pac-12,4000,2009,,44.0590435,-123.0654476,128.096756
,Goss Stadium at Coleman Field,Corvallis,OR,Oregon State,Pac-12,3248,1907,,44.562842,-123.2771362,71.95059967
,Klein Field at Sunken Diamond,Stanford,CA,Stanford,Pac-12,4000,1931,,37.43173,-122.1587444,18.79486275
,Jackie Robinson Stadium,Los Angeles,CA,UCLA,Pac-12,1820,1981,[33],34.0592278,-118.4592393,110.9767609
,Dedeaux Field,Los Angeles,CA,USC,Pac-12,2500,1974,,34.0238376,-118.2898635,53.52592468
,Smith's Ballpark,Salt Lake City,UT,Utah,Pac-12,15411,1994,,40.7405609,-111.8926506,1290.605713
,Husky Ballpark,Seattle,WA,Washington,Pac-12,2200,1998 (Renovated 2014),[34],47.6543873,-122.2983402,7.830741882
,Bailey–Brayton Field,Pullman,WA,Washington State,Pac-12,3500,1980,,46.7351232,-117.1553272,777.7236328
,Johnson Stadium at Doubleday Field,West Point,NY,Army,Patriot,880,1939,,41.3923998,-73.9547362,49.08403397
,Eugene B. Depew Field,Lewisburg,PA,Bucknell,Patriot,500,1999,,40.9522968,-76.891548,147.9826355
,Hanover Insurance Park at Fitton Field,Worcester,MA,Holy Cross,Patriot,3000,1905,,42.2409839,-71.811357,137.5077057
,Kamine Stadium,Forks Township,PA,Lafayette,Patriot,500,1960s,,40.7378009,-75.238322,115.6524811
,J. David Walker Field at Legacy Park,Bethlehem,PA,Lehigh,Patriot,500,2015,,40.5830947,-75.358161,98.19434357
,Terwilliger Brothers Field at Max Bishop Stadium,Annapolis,MD,Navy,Patriot,1500,1962,,38.986881,-76.4948154,3.396893024
,Sewell–Thomas Stadium,Tuscaloosa,AL,Alabama,Southeastern,8500,"1948closed 2015, rebuilt 2016",,33.2048713,-87.538621,65.01921082
,Baum–Walker Stadium,Fayetteville,AR,Arkansas,Southeastern,13472,1996,,36.0498883,-94.1822406,374.505188
,Samford Stadium – Hitchcock Field at Plainsman Park,Auburn,AL,Auburn,Southeastern,4096,1950rebuilt 1996,,32.5996377,-85.4895649,193.3800049
,Florida Ballpark,Gainesville,FL,Florida,Southeastern,7000,2021,[35],29.6364107,-82.3637638,29.34748268
,Foley Field,Athens,GA,Georgia,Southeastern,3291,1966renovated 2015,,33.9408739,-83.3797097,209.9534607
,Kentucky Proud Park,Lexington,KY,Kentucky,Southeastern,5000,2018,[36],38.0186731,-84.5035386,315.9145508
,"Alex Box Stadium, Skip Bertman Field",Baton Rouge,LA,LSU,Southeastern,10326,2009,https://lsusports.net/facilities/alex-box-stadium/,30.4056564,-91.1879038,6.844009876
