game_info,year,n_venue
Southern Conf Championship,2022,Fluor Field at  West End  Greenville South Carolina
Southern Conf Championship,2021,Fluor Field at  West End  Greenville South Carolina
SOUTHERN CONF TOURNAMENT,2019,Fluor Field at  West End  Greenville South Carolina
Southern Conf Tournament,2022,Fluor Field at  West End  Greenville South Carolina
Southern Conf Tournament,2021,Fluor Field at  West End  Greenville South Carolina
SOUTHERN CONF TOURNAMENT,2018,Fluor Field at  West End  Greenville South Carolina
SOUTHERN CONF TOURNAMENT ,2018,Fluor Field at  West End  Greenville South Carolina
SOUTHERN CONF TOURNAMENT ,2017,Fluor Field at  West End  Greenville South Carolina
SOUTHLAND CHAMPIONSHIP,2019,Constellation Field  Sugar Land Texas
Southland Championship,2021,Alumni Field Hammond Louisiana
Southland Championship,2022,
SOUTHLAND CHAMPIONSHIP ,2018,Constellation Field  Sugar Land Texas
Southland Tournament,2022,
SOUTHLAND TOURNAMENT,2019,Constellation Field  Sugar Land Texas
Southland Tournament,2021,Alumni Field Hammond Louisiana
SOUTHLAND TOURNAMENT ,2017,Constellation Field  Sugar Land Texas
SOUTHLAND TOURNAMENT ,2018,Constellation Field  Sugar Land Texas
State Farm College Baseball Showdown,2021,
State Farm College Baseball Showdown,2022,
Stephen F. Austin vs TCU,2021,
Stetson vs Liberty,2022,
Summit League Championship,2021,Tal Anderson Field  Omaha Neb
SUMMIT LEAGUE CHAMPIONSHIP,2019,J L Johnson Stadium
Summit League Championship,2022,J L Johnson Stadium
SUMMIT LEAGUE CHAMPIONSHIP ,2016,J L Johnson Stadium
SUMMIT LEAGUE CHAMPIONSHIP ,2017,J L Johnson Stadium
SUMMIT LEAGUE CHAMPIONSHIP ,2018,J L Johnson Stadium
SUMMIT LEAGUE TOURNAMENT,2019,J L Johnson Stadium
Summit League Tournament,2021,Tal Anderson Field  Omaha Neb
Summit League Tournament,2022,J L Johnson Stadium
SUMMIT LEAGUE TOURNAMENT ,2017,J L Johnson Stadium
SUMMIT LEAGUE TOURNAMENT ,2018,J L Johnson Stadium
SUMMIT LEAGUE TOURNAMENT ,2016,J L Johnson Stadium
SUN BELT CHAMPIONSHIP,2019,Springs Brooks Stadium Conway SC
Sun Belt Championship,2021,Riverwalk Stadium  Montgomery Alabama
Sun Belt Championship,2022,Riverwalk Stadium  Montgomery Alabama
SUN BELT CHAMPIONSHIP ,2017,J I Clements Stadium Statesboro GA
SUN BELT TOURNAMENT,2019,Springs Brooks Stadium Conway SC
Sun Belt Tournament,2021,Riverwalk Stadium  Montgomery Alabama
Sun Belt Tournament,2022,Riverwalk Stadium  Montgomery Alabama
SUN BELT TOURNAMENT,2018,M L Tigue Moore Field Lafayette LA
SUN BELT TOURNAMENT ,2018,M L Tigue Moore Field Lafayette LA
SUN BELT TOURNAMENT ,2017,J I Clements Stadium Statesboro GA
SUN BELT TOURNAMENT ,2016,Bobcat Ballpark San Marcos TX
SWAC CHAMPIONSHIP,2019,Wesley Barrow Stadium  New Orleans Louisian
SWAC Championship,2021,Toyota Field  Madison Alabama
SWAC Championship,2022,Regions Field  Birmingham Alabama
SWAC CHAMPIONSHIP ,2016,Wesley Barrow Stadium  New Orleans Louisian
SWAC CHAMPIONSHIP ,2017,Wesley Barrow Stadium  New Orleans Louisian
SWAC TOURNAMENT,2019,Wesley Barrow Stadium  New Orleans Louisian
SWAC Tournament,2021,Toyota Field  Madison Alabama
SWAC Tournament,2022,Regions Field  Birmingham Alabama
SWAC TOURNAMENT ,2016,Wesley Barrow Stadium  New Orleans Louisian
SWAC TOURNAMENT ,2018,Wesley Barrow Stadium  New Orleans Louisian
SWAC TOURNAMENT ,2017,Wesley Barrow Stadium  New Orleans Louisian
Tangi Tourism Baseball Classic ,2017,
Tarleton State vs TCU,2021,
TCU vs Louisiana,2021,
TCU vs Tarleton State,2021,
Texas Arlington Tournament ,2016,
Texas Southern vs TCU,2021,
Texas State vs Baylor,2021,
