game_info,year,n_venue
SOUTHLAND CHAMPIONSHIP ,2018,"Constellation Field in Sugar Land, Texas"
Southland Tournament,2022,0
SOUTHLAND TOURNAMENT,2019,"Constellation Field in Sugar Land, Texas"
Southland Tournament,2021,"Alumni Field ? Hammond, Louisiana"
SOUTHLAND TOURNAMENT ,2017,"Constellation Field in Sugar Land, Texas"
SOUTHLAND TOURNAMENT ,2018,"Constellation Field in Sugar Land, Texas"
State Farm College Baseball Showdown,2021,0
State Farm College Baseball Showdown,2022,0
Stephen F. Austin vs TCU,2021,0
Stetson vs Liberty,2022,0
Summit League Championship,2021,"ÿTal Anderson Field in Omaha, Neb"
SUMMIT LEAGUE CHAMPIONSHIP,2019,ÿJ.L. Johnson Stadium.
Summit League Championship,2022,J.L. Johnson Stadium
SUMMIT LEAGUE CHAMPIONSHIP ,2016,ÿJ.L. Johnson Stadium.
SUMMIT LEAGUE CHAMPIONSHIP ,2017,ÿJ.L. Johnson Stadium.
SUMMIT LEAGUE CHAMPIONSHIP ,2018,ÿJ.L. Johnson Stadium.
SUMMIT LEAGUE TOURNAMENT,2019,ÿJ.L. Johnson Stadium.
Summit League Tournament,2021,"ÿTal Anderson Field in Omaha, Neb"
Summit League Tournament,2022,J.L. Johnson Stadium
SUMMIT LEAGUE TOURNAMENT ,2017,ÿJ.L. Johnson Stadium.
SUMMIT LEAGUE TOURNAMENT ,2018,ÿJ.L. Johnson Stadium.
SUMMIT LEAGUE TOURNAMENT ,2016,ÿJ.L. Johnson Stadium.
SUN BELT CHAMPIONSHIP,2019,"Springs Brooks Stadiumÿ?ÿConway, SC"
Sun Belt Championship,2021,"Riverwalk Stadium in Montgomery, Alabama"
Sun Belt Championship,2022,"Riverwalk Stadium in Montgomery, Alabama"
SUN BELT CHAMPIONSHIP ,2017,"J. I. Clements Stadiumÿ?ÿStatesboro, GA"
SUN BELT TOURNAMENT,2019,"Springs Brooks Stadiumÿ?ÿConway, SC"
Sun Belt Tournament,2021,"Riverwalk Stadium in Montgomery, Alabama"
Sun Belt Tournament,2022,"Riverwalk Stadium in Montgomery, Alabama"
SUN BELT TOURNAMENT,2018,"M. L. Tigue Moore Fieldÿ?ÿLafayette, LA"
SUN BELT TOURNAMENT ,2018,"M. L. Tigue Moore Fieldÿ?ÿLafayette, LA"
SUN BELT TOURNAMENT ,2017,"J. I. Clements Stadiumÿ?ÿStatesboro, GA"
SUN BELT TOURNAMENT ,2016,"Bobcat Ballparkÿ?ÿSan Marcos, TX"
SWAC CHAMPIONSHIP,2019,"Wesley Barrow Stadium in New Orleans, Louisian"
SWAC Championship,2021,"ÿToyota Field in Madison, Alabama"
SWAC Championship,2022,"Regions Field in Birmingham, Alabama"
SWAC CHAMPIONSHIP ,2016,"Wesley Barrow Stadium in New Orleans, Louisian"
SWAC CHAMPIONSHIP ,2017,"Wesley Barrow Stadium in New Orleans, Louisian"
SWAC TOURNAMENT,2019,"Wesley Barrow Stadium in New Orleans, Louisian"
SWAC Tournament,2021,"ÿToyota Field in Madison, Alabama"
SWAC Tournament,2022,"Regions Field in Birmingham, Alabama"
SWAC TOURNAMENT ,2016,"Wesley Barrow Stadium in New Orleans, Louisian"
SWAC TOURNAMENT ,2018,"Wesley Barrow Stadium in New Orleans, Louisian"
