game_info,year,date,away_team,home_team,away_team_runs,away_team_hits,away_team_errors,home_team_runs,home_team_hits,home_team_errors,venue,n_venue,team,latitude,longitude,elevation
Long Beach State vs UC Irvine,2021,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MAAC CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
MAAC CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
MAAC CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
MAAC Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MAAC TOURNAMENT,2019,9,9,9,9,9,9,9,9,9,9,0,5,0,0,0
MAAC TOURNAMENT ,2017,9,9,9,9,9,9,9,9,9,9,0,7,0,0,0
MAAC TOURNAMENT ,2018,9,9,9,9,9,9,9,9,9,9,0,1,0,0,0
MAAC Tournament,2021,15,15,15,15,15,15,15,15,15,15,0,12,0,0,0
MAAC Tournament,2022,10,10,10,10,10,10,10,10,10,10,0,6,0,0,0
MAAC Tournament If Necessary,2021,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
MAC CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MAC CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MAC Championship,2022,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MAC TOURNAMENT,2019,9,9,9,9,9,9,9,9,9,9,0,8,0,0,0
MAC TOURNAMENT ,2016,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MAC TOURNAMENT ,2017,13,13,13,13,13,13,13,13,13,13,0,13,0,0,0
MAC TOURNAMENT ,2018,10,10,10,10,10,10,10,10,10,10,0,9,0,0,0
MAC Tournament,2022,7,7,7,7,7,7,7,7,7,7,0,6,0,0,0
MEAC CHAMPIONSHIP,2019,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
MEAC CHAMPIONSHIP ,2016,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
MEAC CHAMPIONSHIP ,2017,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
MEAC CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MEAC Championship,2021,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
MEAC Championship,2022,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0
MEAC TOURNAMENT,2019,9,9,9,9,9,9,9,9,9,9,0,6,0,0,0
MEAC TOURNAMENT ,2016,9,9,9,9,9,9,9,9,9,9,0,3,0,0,0
MEAC TOURNAMENT ,2017,8,8,8,8,8,8,8,8,8,8,0,2,0,0,0
MEAC TOURNAMENT ,2018,9,9,9,9,9,9,9,9,9,9,0,6,0,0,0
MEAC Tournament,2021,5,5,5,5,5,5,5,5,5,5,0,1,0,0,0
MEAC Tournament,2022,5,5,5,5,5,5,5,5,5,5,0,1,0,0,0
MISSOURI VALLEY CHAMPIONSHIP,2019,3,3,3,3,3,3,3,3,3,3,0,3,0,0,0
MISSOURI VALLEY CHAMPIONSHIP ,2018,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
MISSOURI VALLEY TOURNAMENT,2019,10,10,10,10,10,10,10,10,10,10,0,10,0,0,0
MISSOURI VALLEY TOURNAMENT ,2017,6,6,6,6,6,6,6,6,6,6,0,6,0,0,0
MISSOURI VALLEY TOURNAMENT ,2018,8,8,8,8,8,8,8,8,8,8,0,8,0,0,0
MOUNTAIN WEST CHAMPIONSHIP,2019,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
